Country_Code,Year,Adjusted net national income per capita (constant 2010 US$),Armed forces personnel (% of total labor force),Computer communications and other services (% of commercial service imports),Consumer price index (2010 = 100),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GINI index (World Bank estimate),GNI per capita growth (annual %),Government Budget,High-technology exports (% of manufactured exports),Improved sanitation facilities urban (% of urban population with access),Improved water source urban (% of urban population with access),Income share held by highest 10%,Income share held by lowest 20%,Individuals using the Internet (% of population),Inflation consumer prices (annual %),Informal employment (% of total non-agricultural employment),Interest arrears official creditors (current US$),Interest arrears private creditors (current US$),Interest payments on external debt (% of exports of goods services and primary income),Internally displaced persons new displacement associated with conflict and violence (number of cases),Internally displaced persons new displacement associated with disasters (number of cases),Internet Speed,Labor force participation rate for ages 15-24 female (%) (modeled ILO estimate),Labor force participation rate for ages 15-24 male (%) (modeled ILO estimate),Military expenditure (% of central government expenditure),Mobile cellular subscriptions (per 100 people),Ores and metals exports (% of merchandise exports),Population in the largest city (% of urban population),Precipitation,Prevalence of HIV total (% of population ages 15-49),Retirement Age Men,Retirement Age Women,Share of youth not in education employment or training female (% of female youth population),Share of youth not in education employment or training male (% of male youth population),Terrorism Index,Total debt service (% of exports of goods services and primary income),Total reserves (% of total external debt),Tourist Arrivals,Unemployment with advanced education female (% of female labor force with advanced education),Unemployment with advanced education male (% of male labor force with advanced education),Unemployment female (% of female labor force) (modeled ILO estimate),Unemployment male (% of male labor force) (modeled ILO estimate),Unemployment total (% of total labor force) (modeled ILO estimate),Unemployment youth female (% of female labor force ages 15-24) (modeled ILO estimate),Unemployment youth male (% of male labor force ages 15-24) (modeled ILO estimate),Urban population growth (annual %),Value lost due to electrical outages (% of sales),Vulnerable employment female (% of female employment),Vulnerable employment male (% of male employment),Wholesale price index (2010 = 100),Stability,KNN_Value,LR_Value
EGY,2000,52.8918532119,-0.08934301096,9.52804760531,1.17815592,1,-1.30000114441,0.5,0.01864378725,1.092370045,32.8,-0.586638444033,456.788,0.309977485557,94.5,98.1,-0.18,0.02,0.35081976,-0.395693773,-5.57999992371,68000,199000,3.951561248999,0,0,456.788,-1.77647209167,-3.94353866577,18.9766475534,1.317350569,3.872454250399,0.090744632368,0,0.1,80,80,4.69000015259,1.56999998093,384,9.82128102482,47.216751163844,384,1.18000001907,1.6,2.70000076294,0.5,1,8.70000076294,3.19999885559,0.013061094616,7.7,38.300000190735,19.39999961853,0.766297691618,4.3,6,4.3,
SLV,2000,16.2249849219,-0.344925520995,1.76202647442,1.58945835,-0.5,-0.800001144409,1.29999923706,0.0650184448,2.138684676,51.3,0.163428297656,786.9843,3.483351692051,76.3,93.3,0.2,0.8,0.331968528,1.756460438,6.03333346049,0,0,8.103916685533,0,0,786.9843,-0.879852294922,-1.78321838379,0.6235259041,3.854416972,1.072049516636,-0.445766662659,0,0.6,80,80,3.79090916027,-1.39999996532,100,14.24733982341,41.925222314286,100,-0.508333325386,-0.483333349228,-0.300000190735,-0.199999809265,-0.300000190735,-0.599999427795,-0.5,-0.08771015265,2.9,50.699999809265,32.199998855591,2.49243818822,5.1,6,5.1,
ERI,2000,-26.9932660789,-0.460085430569,-57.9793198103,0,-1.20000076294,-0.400000095367,1.5,0.0000817515,0.054339692,50,-4.40479662368,79.7908,18.214293833956,53.5,68,0,0,0.111216913,0,0,1950000,0,3.82464427114,0,0,79.7908,-0.899284362793,-1.04654693604,0,0,8.328371945795,1.10961814736,0,1.8,80,80,0,0,100,4.285997250262,10.959106012859,100,0,0,0,0,0,-0.10000038147,-0.099999427795,0.360327337874,0.2,7.799999833107,7.899999856949,0,4.2,6,4.2,
EST,2000,3895.33486502,-0.009246516572,-2.11927538099,2.56810821,-2.00000047684,3.00000190735,-1,0.42937385,0.80060492,37.2,2.02670515746,3091.2806,29.930449299904,97.5,99.7,-5.68,1.22,14.07605657,0.723869719,0,0,0,0.1,0,0,3091.2806,0.532653808594,-0.449920654297,0,12.64226253,5.475051635473,-0.589333471005,0,0.1,63,60.5,2.76000003815,2.1,100,0,0,100,1.80000019073,-0.800000190735,1.5,2.10000038147,1.79999923706,-2.19999885559,0,0.210213230282,0.5,4.5,5.800000101328,0,8.3,10,8.3,
ETH,2000,21.5743767548,0.047694712342,0.801135641073,0.2303615,0.5,0.099999427795,-0.599998474121,-0.00001584,0.048158726,30,0.415540534154,115.0319,0.132223949469,22.8,87,0.02,0.06,0.002722168,-7.278990532,0,59930000,4896000,5.338263061679,0,0,115.0319,0.443794250488,-0.211845397949,41.4752985195,0.016389514,0.914692531207,-0.516589199362,0,3.5,80,80,-0.14615384432,-0.038461538462,100,13.739329020898,6.572469063482,100,0.636363636364,0.854545419866,-4.9000005722,-1.59999990463,-3,-6.5,-2.40000009537,0.000037410207,4.3,94.39999961853,90.70000076294,0,3.2,4,3.2,
FJI,2000,261.771553228,-0.002845017244,-11.1928612895,0.75725301,-0.5,0.099999904633,0.400001525879,0.121582912286,0.54186844,38.1,0,302.6067,0.333878321601,89.1,96.6,7.4,1.675,0.554392671,-0.87650906,0,199000,0,0.877098841305,0,0,302.6067,0.021709442139,-0.624286651611,11.4745423624,3.885704243,0.228897583678,0,0,0.1,80,80,1.70624995232,0.712499976158,294070,2.593412902087,211.801927366672,294070,0,0,-1.39999961853,-0.799999713898,-0.89999961853,-2.89999961853,-1.80000114441,-0.189411007056,4.9,43.300001144409,37.599999427795,0,5.8,6,5.8,
FIN,2000,1743.80529737,-0.010478339924,3.30334705415,2.79783497,-0.10000038147,0.200000762939,-0.099998474121,0.3380674365,-0.15365693,27.9,0.579854908669,2781.2733,27.361043872445,99.4,100,-3.86666666667,1.56666666667,4.95336945,2.208401838,0,0,0,0.1,0,0,2781.2733,0.464931488037,-0.065105438233,3.656411476012,8.65018526,3.121793878626,0.259421327188,0,0.1,63,63,-2.32000007629,-2.06000003815,100,0,0,100,0.800000190735,0.39999961853,-0.400000572205,-0.60000038147,-0.599999427795,-0.599998474121,-0.10000038147,-0.027765675003,0,6.600000023842,11.500000178814,0,9.5,10,9.5,
FRA,2000,672.673372078,-0.092682235675,3.40107415875,1.41028199,-0.099999904633,0,0.199996948242,0.238635778,-0.14204755,30.6,-0.621363107428,3117.2904,24.603311454448,98.6,100,-4.08333333333,1.4,5.182606051,1.166033642,0,0,0,0.1,0,0,3117.2904,0.07160949707,-0.542629241943,5.585782750764,12.67114253,1.931209444851,-0.06463223505,0,0.3,60,60,2.06000003815,1.73999996185,75000,0,0,75000,-0.900000095367,-1.2000002861,-1.69999980927,-1.79999923706,-1.80000019073,-5.5,-5.60000038147,0.248918034971,0,6.200000047684,7.800000101328,0,7.8,8,7.8,
GAB,2000,-148.471599965,-0.902125537236,3.74424710007,0.40988334,-0.799999237061,0.300000190735,0.700000762939,0.00258394,0.004549761,42.2,2.00307853367,416.5667,5.194285574279,39.8,94.5,4.74285714286,0.828571428571,0.967131054,2.441524002,0,58682000,4777000,4.371815351923,0,0,416.5667,-0.207033157349,-0.5146484375,0,9.048260936,1.727581378682,-0.56436675674,0,5.9,80,80,0,0,100,9.950645833789,4.939056388549,100,0,0,0.300000190735,-0.5,-0.10000038147,-0.299999237061,-0.900001525879,-0.081618222045,1.7,64.600000858307,46.099999904633,0,5.8,6,5.8,
GEO,2000,211.364898402,0.080964305459,13.1894169825,2.14411983,-0.200000762939,0.400000572205,-0.200000762939,0.003061180333,-3.25516903,40.5,-0.713539333603,576.9885,10.850465257141,96.4,97.1,0.4,0,0.068402732,-15.128713806,0,1208000,0,5.795972020619,0,0,576.9885,-3.5634098053,1.86491775513,5.3264604811,1.331367937,28.916788133727,0.074583358504,0,0.1,65,60,0,0,100,12.674406187269,6.35250091879,100,1.76666673024,1.86666647593,-1.80000019073,-4,-3,-4.19999885559,-2.70000076294,0.005455718367,1.4,62.299999237061,59.199998855591,0,4,4,4,
DEU,2000,453.078063908,-0.272222185563,1.03732448525,1.24263272,-0.300000190735,-0.29999923706,0.5,0.1586589615,2.39190688,31.8,1.28327778838,3244.893,18.625813659492,99.3,100,3.15,1.0125,9.37036396,0.901558006,0,0,0,0.1,0,0,3244.893,-0.394306182861,-0.562519073486,4.609572776455,29.63622523,2.466684216876,-0.021768909318,0,0.1,65,65,2.06000003815,1.93999996185,18992,0,0,18992,-0.899999856949,-0.699999809265,-0.89999961853,-1.00000047684,-0.999999523163,-0.299999713898,-0.39999961853,0.129632982281,0,5.199999928474,6.300000011921,0,8.2,10,8.2,
GHA,2000,116.252840892,-0.002688319431,2.33375025516,4.24986693,0.200000762939,0.5,-0.700000762939,0.000719924667,0.254966562,42.8,0.188362215485,329.2137,1.924122615932,15.9,87.6,4.67142857143,0.742857142857,0.048719832,12.78455046,6.13999989827,19726000,6973000,6.360729591958,0,0,329.2137,-0.36307144165,-0.555587768555,0.309340414733,0.309907791,18.821440270508,-0.231747513582,0,4.2,80,80,0.886666679382,0.579999987284,100,19.037688219359,4.580824643518,100,0.286666679382,0.279999987284,-0.39999961853,0.800000190735,0.299999237061,-3.10000038147,3.30000019073,-0.030440365301,5.6,86.799999237061,64.199998855591,0,6,6,6,
GRC,2000,838.480508602,-0.155337685107,-6.34796255889,2.21579853,0,-0.39999961853,0.400001525879,0.0189924914,0.2573361,33.6,1.53879180165,1607.7213,13.749376267889,97.6,99.8,4.25,-1.18333333333,2.261545164,0.529299792,0,0,0,0.1,0,0,1607.7213,-1.85330963135,-0.017665863037,7.995034464735,18.33494315,7.203782375088,-0.083279958242,0,0.1,57,57,3.45999984741,2.02000007629,241251,0,0,241251,-0.699999809265,-0.699999809265,-1.10000038147,-0.200000286102,-0.699999809265,-3,-0.900001525879,0.025301071101,0,35.10000038147,33.400000572205,0,7.6,8,7.6,
GTM,2000,16.8894284942,0.265023536452,-8.95347961137,2.92504728,0.5,-0.39999961853,-0.099998474121,0.030541134571,0.457792632,54.8,-0.051530059346,638.0854,7.940791796907,73.5,93.6,22.2,1.7,0.11967996,0.763966761,-5.44666646322,13738000,303284000,5.013764506711,0,0,638.0854,0.068599700928,-0.132011413574,7.480215945911,4.560209079,1.871519493987,0.141603326918,0,0.2,80,80,-3.38461538462,-0.569230776567,100,9.721741050617,45.736197615393,100,0.138461534794,0.330769245441,-0.699999928474,-0.399999976158,-0.5,-1.5,-0.700000047684,0.028883028156,4.5,55.39999961853,41.700000762939,0,4.4,6,4.4,
GIN,2000,22.9635540721,-0.011056975502,-9.98256145941,5.35820926333,-0.099998474121,0.099999904633,-0.10000038147,0.000383105333,0.033058713,43,0,145.9177,0.095429159273,24.5,89,8.5,1.45,0.034616005,4.48190037,0,77287000,4122000,7.615776637794,0,0,145.9177,-0.192344665527,-0.314819335938,0,0.188710129,63.411741671968,0.122256724994,0,1.8,80,80,1.47500002384,1.64999997616,100,20.71693473958,5.420580472129,100,3.67499995232,3.82500004768,0,-0.10000038147,0,0,0,0.043486038394,13.9,75.599998474121,62.10000038147,0,3.3,4,3.3,
GUY,2000,224.693785516,0.014630199702,6.72436100872,3.32305071,-0.10000038147,-0.800001144409,0.899997711182,0.037552775714,0.546702928,50,0,218.9068,1.955591946235,86.2,94.7,0,0,2.645136831,-1.389676069,0,59308000,8130000,4.466003801725,0,0,218.9068,-0.2795753479,-0.479782104492,0,4.970239204,20.834179058646,0,0,0.8,80,80,0,0,105,10.233221231174,22.188834785574,105,0,0,-0.099999427795,0.099999427795,0,0,0.200000762939,0.093714716914,2.8,25.800000190735,31.800000190735,0,4.9,6,4.9,
HTI,2000,79.712675963,-0.003141343353,-1.92045010079,3.24111418,0,-0.5,0.400001525879,0,0.015123335,40.9,-1.25978607148,506.0591,0.1,33.3,81.6,2.21428571429,0.4,0.160612237,5.036764323,0,1046000,0,4.278935874528,0,0,506.0591,-0.822170257568,-1.14228820801,0,0.34471512,0.1,0.86687890112,0,2.9,80,80,0,0,100,9.208655946,15.166112719743,100,0,0,1,0.800000190735,0.900000572205,2.79999923706,1.9000005722,-0.058820090224,0,88.500003099442,84.300003051758,0,3.2,4,3.2,
HND,2000,62.5794735329,-0.00713571169,-1.74927174914,4.78695225,-0.699996948242,0.60000038147,0.100002288818,0.0010934405,0.219009618,55.3,6.5240188422,883.3406,2.425287731043,76.9,94.4,-0.3,0.2,0.630280523,-0.61570605,-5.97857121059,9125000,26014000,4.954050526693,0,0,883.3406,-2.27599716187,-1.74961853027,7.64127747667,1.20331867,6.474214670754,-0.250967727104,0,1.1,80,80,4.62222205268,1,100,14.750192280331,23.491793818842,100,0.135714284011,0.257142850331,0.099999904633,-0.099999904633,0,-0.200000286102,-0.699999809265,-0.049327468213,3.8,47.800001144409,49.099999427795,0,4.1,6,4.1,
HUN,2000,343.745629814,-0.181103069566,1.12218270011,5.15556812,-0.5,-0.600002288818,1.09999847412,0.0166273595,0.81192316,29.9,1.98507242597,3456.8083,26.534286091146,97.8,99.2,4.03333333333,-1.38333333333,1.141835602,-0.250339456,0,0,0,0.1,0,0,3456.8083,-2.43807029724,-2.03099441528,3.658536806239,14.2088669,2.110992209211,-0.189273023848,0,0.1,60,59,2.39999993642,1.71666669846,100,32.888258480353,0,100,0.200000047684,0.199999928474,-0.39999961853,-0.300000190735,-0.300000190735,-0.200000762939,0.199999809265,0.023112436738,0.8,7.5,12.299999624491,0,8.4,10,8.4,
ISL,2000,0,-0.001879091912,10,2.66596159,-0.599999427795,-0.200000762939,0.799995422363,0.809409993,3.37011282,28,-0.644670456762,3448.4866,12.855387329769,98.7,100,3.95,-1.56666666667,3.17596711,1.893979438,0,0,0,0.1,0,0,3448.4866,5.97903442383,5.14586639404,0.886024244296,14.40974742,19.297302604537,0,0,0.1,67,67,1.21999998093,0.6,10592,0,0,10592,0.15000000596,-0.599999964237,-0.200000047684,-0.300000071526,-0.300000071526,-1.20000004768,1.59999990463,0.146792397813,0,7.299999833107,13.500000193715,0,9.7,10,9.7,
IND,2000,3.08486839866,0.015926246431,-15.2878170012,2.08783397,-1.09999847412,0.60000038147,0.5,0.001573067667,0.525655403,35.2,-5.2621886258,919.3932,6.255549228061,54.5,92.3,2.29230769231,0.638461538462,0.254308173,-0.660387062,7.32500012716,0,0,6.752737026861,0,0,919.3932,-0.460062026977,-0.483619689941,19.471555501645,0.15937247,2.719909317027,0.007805742332,0,0.4,60,60,-7.70000012716,1.26666665077,297711,17.081053027409,40.599687556215,297711,4.19999980927,5.15000009537,0,0.10000038147,0.10000038147,0.400000572205,0.199999809265,-0.039691762105,3.7,90.399997711182,80.499997138977,3.63136103628,4.5,6,4.5,
IDN,2000,61.0296558263,-0.01819164164,-0.382981943174,1.57882047,1.20000076294,-0.700000762939,-0.400001525879,0.0009572185,0.236472591,39.5,-0.358824162059,816.7753,16.37362789452,65.8,91.3,2.12666666667,0.48,0.481147928,-16.769093525,-4.68333350288,5024000,4627000000,10.124335119587,0,0,816.7753,0.117351531982,-0.405601501465,4.79545925928,0.677755324,4.929874546423,-0.40026045609,0,0.1,55,55,19.25,-10,724539,22.846705860041,20.379499145845,724539,3,5.39999961853,-0.300000190735,-0.199999809265,-0.200000286102,-0.89999961853,1.20000076294,-0.064937499726,2.2,70.89999961853,61.70000076294,4.33995467372,3.4,4,3.4,
IRN,2000,-52.9211074544,-0.383264838116,0.290594620504,3.18366414,0.39999961853,0.099998474121,-0.599998474121,0.0001335135,1.4857529,43.6,5.77791072154,694.002,0.607823087761,84.1,98.3,4.75714285714,-0.757142857143,0.555620925,-5.59395649,0,0,0,1.947797948956,0,0,694.002,0.657646179199,0.343448638916,15.009438056382,0.704220684,0.770633815488,-0.228042761924,0,0.1,80,80,-4.35454559326,2,100,9.757744515615,0,100,-0.766666677263,-1.11111111111,0,0.10000038147,0.199999809265,0,0.099998474121,-0.194847020243,0,62.599998474121,44.400000572205,9.91284359736,4.4,6,4.4,
IRQ,2000,302.044432513,-0.255026185312,-3.14722228804,0.86122862,-0.700000762939,0.400001525879,0.400001525879,0.000011575,-0.087168483,28.6,0,2347.2914,0.077757859699,83.6,94.8,2.95,1.1625,0.033333333333,-7.598800208,0,0,0,0.1,0,0,2347.2914,0.436397075653,-2.49633026123,1.47378270521,0,0.00593402729,-0.15267918516,0,0.1,80,80,0,0,100,0,0,100,0,0,-1,-0.800000190735,-0.800001144409,-1.70000076294,-1.60000038147,-0.093275995698,8.8,51.099998474121,38.199999809265,0,1.6,2,1.6,
IRL,2000,2602.12036342,-0.022373722087,-10.4279296228,4.13154514,-0.699999809265,0.10000038147,0.5,0.067329374,1.85396586,33.6,1.78463258582,3102.1884,47.839892322095,87.6,95.9,4.43333333333,1.26666666667,6.91665865,3.92455878,0,0,0,0.1,0,0,3102.1884,-0.516864776611,1.23382568359,2.514625851021,19.98994289,0.360551588314,-0.384054850038,0,0.1,65,65,1.97999992371,1.56000003815,1283,0,0,1283,-0.399999976158,-0.400000095367,-1.2999997139,-1.59999990463,-1.5,-1.49999952316,-2.4000005722,0.202224926421,0,6.399999976158,17.799999594688,0,9.6,10,9.6,
ISR,2000,1354.0316661,-0.20730399929,4.47791440672,0.89951155,-0.099999904633,-0.800001144409,0.900001525879,0.238542327667,0.60165344,38.9,3.20603294861,2764.4028,19.351723621635,100,100,9.56666666667,1.96666666667,7.43766809,-4.069613707,0,0,0,0.1,0,0,2764.4028,2.24900817871,0.625713348389,16.000825715459,24.28018456,1.251105716549,-0.273937619842,0,0.1,67,62,-2.62727269259,-3,109.7,0,0,109.7,-0.89999961853,-1,-0.39999961853,0.200000762939,-0.099999427795,-0.400001525879,1.39999961853,0.094755967792,0.1,5.399999916554,8.899999812245,2.47994869776,5,6,5,
ITA,2000,590.192184902,-0.080675847727,3.61459717039,1.98316807,-0.200000286102,-0.600002288818,0.79999923706,0.1009018255,1.04969616,34.3,1.55484700787,2453.8632,9.476507204671,99.5,100,-4.38333333333,1.13333333333,8.73246405,0.863689163,0,0,0,0.1,0,0,2453.8632,0.229610443115,-0.24193572998,5.067539133949,20.86407445,1.380554697326,-0.032833613089,0,0.3,59,59,3.11666679382,2.31666660309,100,0,0,100,-0.900000095367,-1,-1.4000005722,-0.5,-0.89999961853,-3.09999847412,-0.39999961853,0.02840153258,0,13.60000038147,16.400000333786,0,7.3,8,7.3,
JAM,2000,-506.641147631,-0.003715930033,-0.882990656212,2.55307865,0.400001525879,-1,0.599998474121,0.041395611667,0.06565512,44.1,-0.007302850896,1799.6957,0.058952907935,79.3,97.7,1,-0.233333333333,0.760089471,2.21684407,0,121628000,28158000,7.008620689655,0,0,1799.6957,-0.492713928223,-0.232139587402,1.955222727293,8.567434694,4.069614834553,-0.452524577527,0,2.2,80,80,0,0,211950,18.767426486143,21.82461576317,211950,0,0,-0.39999961853,0,-0.199999809265,-4.40000152588,-0.5,-0.065842424618,0.2,33.200000286102,41.399998426437,0,5.4,6,5.4,
JPN,2000,991.51238446,-0.007864502479,-1.47608430642,-0.6747858,-0.10000038147,-0.5,0.600002288818,0.507700089,-0.16849886,32.1,3.28308750236,6672.4163,28.688668298795,100,100,2.48,0.74,8.59945005,-0.323565578,0,0,0,0.1,0,0,6672.4163,-0.182220458984,-0.43692779541,5.369128618895,7.82177467,1.282576677328,0.060646453176,0,0.1,60,60,-0.554545445876,-0.245454549789,361260,0,0,361260,0.975000023842,1.04999995232,0,0.099999904633,0,-0.400000095367,0,-0.014292536435,0,18.199999809265,14.999999642372,5.52512502977,8.9,10,8.9,
JOR,2000,277.031210641,0.952793520115,-9.69642720734,0.43803495,-0.099999904633,-0.200000762939,0.300003051758,0.002819654333,0.97585196,37,4.12128146315,967.9252,8.042914801182,98.3,98.2,7.375,1.8,0.096310069,0.060624358,0,102392000,43000,11.985720684476,0,0,967.9252,-0.029058456421,-0.464302062988,3.6087973795,5.63848628,14.597218776292,-0.31043107484,0,0.1,80,80,0,0,561.6,20.06506225861,31.107424336888,561.6,0,0,-3.40000152588,1.60000038147,0.89999961853,-8,1.89999961853,-0.010747141617,2.3,5.699999809265,12.899999976158,-2.25802277433,4.7,6,4.7,
KAZ,2000,-164.816508305,-0.022560492657,32.8574026185,5.12290706,-0.70000076294,1.00000095367,-0.20000076294,0.0013534264,0.59630494,35.4,3.96273375545,500.8834,0.944295932375,96.5,98,-8.9,2.3,0.204317185,4.884862937,0,0,0,7.589850954678,0,0,500.8834,-1.90732574463,-1.46371078491,5.718327642901,1.016424627,2.206799250756,0.35226625515,0.5,0.1,62.5,57.5,0,0,100,32.369811733585,16.283513458719,100,-0.372727264058,-0.454545454545,-0.89999961853,-0.5,-0.699999809265,-0.900000572205,-0.60000038147,0.392001862756,3.7,42.500000715256,34.899999976158,0,6,6,6,
KEN,2000,-28.5966561885,-0.02110998619,0.929088826372,3.45624511,0,0.099999904633,-0.10000038147,0.002155289143,-0.019073962,48.5,-0.914415529642,348.6125,3.879526518527,28.5,87.5,5.54285714286,0.671428571429,0.203803686,4.238024059,0,18082000,28643000,5.100310700211,0,0,348.6125,-2.47664642334,-0.906383514404,10.9503984225,0.329289543,3.174179979988,-0.184777920884,0,10.2,80,80,36.5999984741,28.1000003815,99002,21.019698638228,14.603606882006,99002,4.90000009537,11.3000001907,0.699999809265,0.400000095367,0.5,1.30000019073,1.10000038147,0.030539720603,6.4,79.5,50.799999237061,0,3.9,4,3.9,
KWT,2000,2868.20188843,-0.115066517794,-0.300527313793,1.24545732,0.100000143051,-0.60000038147,0.5,0.084149414333,-0.55516959,50,-0.187482957405,1401.3101,0.170373032839,100,99,0,0,1.975173559,-1.17786422,0,0,0,0.1,0,0,1401.3101,0.404180526733,0.813930511475,11.7961570593,8.47276582,0.100087774213,-0.817918195859,0,0.1,80,80,0,0,6585,0,0,6585,0,0,0.099999964237,0.100000023842,0.100000023842,0.299999952316,0.699999809265,-1.69096041188,0,0.300000011921,2.799999952316,0.334100188889,6.4,8,6.4,
KGZ,2000,51.298114989,0.074074145327,14.1704984656,7.71488609,-1.10000228882,1.99999904633,-0.899997711182,0.000179878,0.024628667,31,3.01813537105,1,14.780453445046,91.7,96.2,-12.4,4.3,0.836689795,-18.33019156,0,8981000,852000,13.696970317541,0,0,873.8373,-0.063777923584,0.513370513916,24.3475670399,0.129097428,11.193398941835,-0.167116766954,0,0.1,80,80,2.12727269259,-1.10909089175,100,30.195004205175,13.512607234802,514.4,0.966666698456,0.949999968211,-0.5,-0.200000286102,-0.300000190735,-1.5,-0.300000190735,0.275652170361,10.5,59.700000762939,51.10000038147,0,2.9,4,2.9,
LAO,2000,220.812049302,-0.112508713995,-82.4875621891,9.65478035,0.5,-1.20000004768,0.60000038147,0.0000889828,0.095981265,32.6,1.33054522027,1,0.1,66.1,72.2,6.75,2.15,0.073263324,-100.18748697,0,301000,0,1.980867396641,0,0,256.0447,-0.927719116211,-0.475799560547,4.98764046914,0.007377536,0.1,-0.307600691352,0,0.1,80,80,0.491666674614,0.358333349228,100,7.953084206835,5.67335185197,100,0.166666666667,0.174999992053,0,0,0,0,-0.099999904633,-0.127887017714,2.5,95.099996566773,90.70000076294,0,5.2,6,5.2,
LVA,2000,453.938044798,-0.063254913764,1.39508325766,1.52717653,-2.80000019073,1,1.70000076294,0.0059878195,0.43031034,36.4,5.5031988894,3101.8037,3.959122402389,86.9,99.6,4.75,-1.06666666667,1.931653028,0.289749291,0,0,0,0.1,0,0,3101.8037,-2.75898361206,-4.57434082031,1.91632774618,5.46357861,6.039498607819,-0.031708915461,0,0.5,62,59.5,-3.32000007629,-1.77999992371,100,0,0,100,-0.599999904633,0.89999961853,0,0.800000190735,0.39999961853,2.10000038147,-5.29999923706,-0.036506570775,1.1,11.10000038147,10.400000095367,0,7.7,8,7.7,
LBN,2000,-129.426631293,-0.735872683608,0.497491854509,9.503456176,-0.199999809265,-0.200000762939,0.400001525879,0,-0.285312,31.8,0.976832187568,495.9302,2.344914514995,82.7,85.7,1.90769230769,0.6,2.575934238,0.107968132091,0,0,0,17.79238279966,0,0,495.9302,-0.070363998413,0.249950408935,17.659877312978,3.10236803,7.403701841088,0.984266921292,0,0.1,80,80,3.03333324856,1.77777777778,742,36.28842607346,84.130033695568,742,1.20000002119,1.22222222222,0.199999809265,0.300000190735,0.300000190735,0.599998474121,0.5,1.10129401128,7,13.800000190735,35.899999141693,0,3.7,4,3.7,
LBR,2000,-241.497286164,1.04252665701,0,13.6761480067,21.5999984741,2.40000009537,-24,0.000299506,-0.009045582,36.5,4.4482335234,212.155,0.1,24.8,76.2,3.14444444444,0.722222222222,0.006373974,-3.5399117525,7.22499974569,608604000,803947000,0.431125838929,0,0,212.155,-0.325611114502,-0.643859863281,1.61070683504,0.051867794,0.1,3.15528465678,0,4.2,80,80,2.41666666667,1.59166669846,100,0.431125838929,0.009438685846,100,0.274999996026,0.299999992053,0,-0.300000190735,-0.199999809265,0.300000190735,-0.199999809265,-1.60796091738,2.8,89.900001525879,72.099998474121,0,3.4,4,3.4,
LBY,2000,734.679234802,0.491273192214,-1.29011856764,-2.9509303,0.199999809265,0.700000762939,-0.900001525879,0.0786856123,0.88887943,50,0,1,0.1,96.8,72.1,0,0,0.053425333,-5.548622523,0,0,0,0.1,0,0,1,0.348966598511,0.102039337158,0,0.183719066,0.007190806986,-0.239333589791,0,0.1,80,80,0,0,100,0,0,100,0,0,-0.10000038147,0.10000038147,0.10000038147,0.20000076294,0.199998855591,0.04410147093,0,32.700000762939,29.399999141693,0,5.9,6,5.9,
LTU,2000,1367.72122044,0.050707716693,-1.63998465798,0.74166679,-0.799999237061,-0.400001525879,1.19999694824,0.023370587667,1.30567197,37,-1.4529793776,1845.5997,4.458263805217,93.4,96.5,-4.65,0.966666666667,3.504012795,0.253077931,0,0,0,0.1,0,0,1845.5997,-4.73799514771,-6.72068023682,11.154217181904,5.575462194,2.071753309126,0.066901692211,0,0.1,62.5,59,-1.73333326976,-1.55000003179,100,0,0,100,3.10000038147,0.60000038147,1.5,3.50000095367,2.5,6.29999923706,0.700000762939,0.005980207366,0.6,15.700000286102,20.39999961853,0,8.3,10,8.3,
LUX,2000,1961.92430782,-0.028543733633,1.73039438696,2.44255246,0.400000095367,-1.10000038147,0.599998474121,0.092016804,-1.26575706,30.2,3.03696970692,3030.5395,16.558338199756,97.5,100,3.95,-1.38333333333,5.49937017,2.142534919,0,0,0,0.1,0,0,3030.5395,-1.07395553589,2.7096748352,1.870832633106,21.03475125,5.035373087734,0,0,0.1,60,60,1.16000003815,0.9,100,0,0,100,-0.100000023842,0.100000023842,-0.200000047684,0,-0.100000143051,-0.099999904633,-0.5,0.242166898254,0,3.599999904633,3.300000049174,0,9.4,10,9.4,
MDG,2000,7.57843479999,-0.012545905021,0.17111989341,4.01641445,-0.200004577637,0.099999904633,0.10000038147,0.000903664375,0.020215434,38.6,-1.4045706283,261.9915,0.572268431497,16.4,75.5,3.85,-0.7,0.02778591,1.930150507,0,189999000,13705000,4.613274783781,0,0,261.9915,-0.058662414551,-0.064224243164,11.464351071083,0.166486377,2.069151580803,-0.342047330765,0,0.2,80,80,0.307142870767,0.235714282308,34825,13.939773512726,6.034290552724,34825,0.128571425165,0.16428571088,3.19999980927,2.5,2.80000019073,5.69999980927,5.7999997139,-0.035364880622,7.7,85.599998474121,78.700000762939,0,6.2,8,6.2,
